Item_Number,Price,Item_Name,Item_Description,Photo_File_Name,Apparel,Stuffed,Decor,Seasonal,Themed,Slime,Misc
100000,15.00,Beanie,Blue,126897834_101542028460872_6135392924853707682_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100001,17.00,Beanie,Among Us,127908329_107656214516120_2847748045883133988_n,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
100002,7.00,Scrunchie,,131478803_114034527211622_14582335003068716_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100003,15.00,Among Us Stuffy,,136351763_121867979761610_5876160805895823192_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100004,12.00,Bumble Bee,Stuffed Animal,147298900_139948104620264_2693936306669262905_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100005,14.00,Bunny,Stuffed Animal,155846447_156193762995698_2258417616551773617_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100006,35.00,Scale Glove,Fingerless,242220883_4490095277721996_6509455526577994045_n,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
100007,15.00,Dunkin Gnome,,247935176_4272311679545139_4159609567078667553_n,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100008,7.00,Unicorn Slime,,248057998_4058028880965040_8777596968558387090_n,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
100009,15.00,Gnome,,248262012_4507675619269792_7640667790086390394_n,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100010,15.00,Fingerless Gloves,,254431431_4613657162052921_6469113012009975012_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100011,5.00,Slime,Glow in the Dark,256395401_4644516508945357_5802202113180606852_n,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
100012,12.00,Christmas Headband,,257869080_314653567149716_2795845133701269342_n,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
100013,11.00,Headband,,257931149_314653650483041_138325899226657844_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100014,10.00,Snowman,,261508240_318315036783569_381717984777312932_n,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
100015,8.00,Drop Earrings,,261746411_318978633383876_8569484342425932098_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100016,15.00,Reindeer,Stuffed Animal,263704479_321835573098182_6529911370987013744_n,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
100017,7.00,Slime,Unicorn,263971121_323010479647358_3999714969080016170_n,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
100018,18.00,Sport Gnome,Football/Basketball,264446022_325999472681792_7573310536109330558_n,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
100019,40.00,Throw,Blanket,269839310_334256681856071_7497215306784876126_n,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
100020,22.00,Unicorn,Stuffed Animal,271658186_343841374230935_6915517339520251829_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100021,6.00,Cuzie,,272249575_351574576790948_2927853947326874033_n,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
100022,20.00,Owl,Stuffed Animal,272293192_352074036741002_9153152315042785970_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100023,18.00,Legless Cat,Stuffed Animal,272300391_352073773407695_962223573091190000_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100024,7.00,St Patty Cuzie,,274608743_370803984868007_1331650335103957545_n,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
100025,7.00,Cloud Slime,,274824795_372866474661758_6009387000930312935_n,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
100026,20.00,Hanging Rope Basket,,275511600_379286934019712_8600317695355310812_n,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100027,22.00,Turtle and Baby,Stuffed Animal,276053272_383977150217357_7132228235919004852_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100028,12.00,Cow,Stuffed Animal,276298845_383977380217334_6559698689458413365_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100029,12.00,Kitten,Stuffed Animal,282815015_432139442067794_3672828170756817908_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100030,35.00,Satchel,,289455237_449881296960275_6851531413155676955_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100031,45.00,Sling Bag,,291573432_455583626390042_3137819584250867976_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100032,25.00,Clutch,,293369969_461302655818139_6274199298928681473_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100033,12.00,Octopus,Stuffed Animal,294538580_465059282109143_3348812019680663640_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100034,20.00,Giraffe,Stuffed Animal,295840823_466251165323288_7349813196460573987_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100035,35.00,Hobo Bag,,296338255_473763151238756_2145628529733744076_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100036,40.00,Bucket Bag,,296343503_473763161238755_5497278348059666333_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100037,10.00,Bat,Stuffed Animal,296981624_473761911238880_1461563632627282337_n,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
100038,5.00,Avocado,Stuffed Animal,297426098_477650314183373_2337330748712274172_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100039,18.00,Baby Yoda,Stuffed Animal,298098586_474571734491231_4660749853635346934_n,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
100040,8.00,Ghost,Stuffed Animal,298411279_476939824254422_7434524555209185144_n,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
100041,11.00,Baby Turtle,Stuffed Animal,298758469_476857310929340_1292005105434381032_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100042,15.00,Fox,Stuffed Animal,309719458_518026213479116_2409729380510550124_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100043,15.00,Ball Bracelet,,310022736_518026233479114_5568448691814746812_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100044,11.00,Pumpkin Voodoo,Stuffed Animal,310263539_518025936812477_2286517661121807898_n,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
100045,11.00,Voodoo Doll,Stuffed Animal,310993590_518025843479153_3673028332895432256_n,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100046,25.00,Stocking,,314035915_539601791321558_7265085727764631745_n,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
100047,8.00,Squirrel,Stuffed Animal,315385775_545802454034825_8639285528574639407_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100048,20.00,Grinch,Stuffed Animal,315436069_546909110590826_2092830049408644832_n,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
100049,25.00,Long Cow,Stuffed Animal,315583145_544336264181444_6583272595360358971_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100050,40.00,Gnome Family,,325436478_1816641438735647_1534981494149101756_n,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100051,15.00,Floppy Dog,Stuffed Animal,325440896_919515589496743_3015227967703962584_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100052,17.00,KC Gnomes,,326242025_720909249497513_7997750570978945269_n,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
100053,20.00,Tiger,Stuffed Animal,326917267_582034483348068_4936568551938436279_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100054,25.00,Hanging Plant,,346649597_265955532462720_338688874700369190_n,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100055,15.00,Baby Groot,Stuffed Animal,347126906_247298851175808_3142709494587256992_n,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
100056,12.00,Baby Cow,Stuffed Animal,349158789_764493061722855_7233391018025289998_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100057,35.00,Half Moon Bag,,349474172_635804778589278_7320163702800725639_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100058,30.00,Folding Clutch,Purse,349474190_1495946441232313_6534629312003787486_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100059,45.00,Floral Half Moon Bag,,349667737_952231059451092_2953721526475816976_n,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100060,15.00,Baby Dragon,Stuffed Animal,349984443_1289071175052647_1259138448897465762_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100061,14.00,Elephant,Stuffed Animal,356407576_747711377359801_5365661706017139857_n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100062,20.00,Fishing Polar Bear,Stuffed Animal,357383158_748268447304094_1062511525962111203_n,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
